INVENTORY,SECTOR,SOURCE,YEAR,CONSUMPTION_UNITS,CONSUMPTION,GHG_EMISSIONS,OBJECTID
Government Operations,Buildings & Facilities,Fuel Oil,2006,Gallons,1384554,14226.26466,1
Government Operations,Buildings & Facilities,Fuel Oil,2007,Gallons,,,2
Government Operations,Buildings & Facilities,Fuel Oil,2008,Gallons,,,3
Government Operations,Buildings & Facilities,Fuel Oil,2009,Gallons,600343.19999999,6168.512318,4
Government Operations,Buildings & Facilities,Fuel Oil,2010,Gallons,338939.60000002,3482.597611,5
Government Operations,Buildings & Facilities,Fuel Oil,2011,Gallons,77535.8,796.6808493,6
Government Operations,Buildings & Facilities,Fuel Oil,2012,Gallons,60343.82459529,719.9271954,7
Government Operations,Buildings & Facilities,Fuel Oil,2013,Gallons,75239.85926955,927.6609335,8
Government Operations,Buildings & Facilities,Fuel Oil,2014,Gallons,12000,123.29976,9
Government Operations,Buildings & Facilities,Fuel Oil,2015,Gallons,12000,123.29976,10
Government Operations,Buildings & Facilities,Fuel Oil,2016,Gallons,,,11
Government Operations,Buildings & Facilities,Fuel Oil,2017,Gallons,,,12
Government Operations,Buildings & Facilities,Fuel Oil,2018,Gallons,,,13
Government Operations,Buildings & Facilities,Fuel Oil,2019,Gallons,220800,2268.7,14
Government Operations,Buildings & Facilities,Fuel Oil,2020,Gallons,,,15
Government Operations,Buildings & Facilities,Steam,2006,Thousand lbs,80020,5754.771667,16
Government Operations,Buildings & Facilities,Steam,2007,Thousand lbs,,,17
Government Operations,Buildings & Facilities,Steam,2008,Thousand lbs,,,18
Government Operations,Buildings & Facilities,Steam,2009,Thousand lbs,88982,6527.27461,19
Government Operations,Buildings & Facilities,Steam,2010,Thousand lbs,82868,6078.78214,20
Government Operations,Buildings & Facilities,Steam,2011,Thousand lbs,75785,5384.539468,21
Government Operations,Buildings & Facilities,Steam,2012,Thousand lbs,65352.02904884,4646.3057,22
Government Operations,Buildings & Facilities,Steam,2013,Thousand lbs,84315.90845581,6037.336565,23
Government Operations,Buildings & Facilities,Steam,2014,Thousand lbs,70157.5,4984.704463,24
Government Operations,Buildings & Facilities,Steam,2015,Thousand lbs,60461.324,4295.789211,25
Government Operations,Buildings & Facilities,Steam,2016,Thousand lbs,57255,4067.97,26
Government Operations,Buildings & Facilities,Steam,2017,Thousand lbs,52681.40411311,3627,27
Government Operations,Buildings & Facilities,Steam,2018,Thousand lbs,46535,3947.8,28
Government Operations,Buildings & Facilities,Steam,2019,Thousand lbs,43268.3874,3074.2,29
Government Operations,Buildings & Facilities,Steam,2020,Thousand lbs,835.8,59.398,30
